uuid,user_age,device,computer_time,target_object_id,misses,movement_time,index_difficulty
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,12,0,0.866,1.014
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,4,0,0.915,3.226
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,18,0,0.700,1.288
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,20,0,0.816,1.780
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,22,0,0.899,1.287
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,19,0,1.066,3.608
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,8,0,0.833,2.465
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,17,0,0.932,2.391
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,5,0,0.849,1.763
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,11,0,0.683,1.710
94b750bc-66df-494b-9246-6c37272a666f,49,Mouse,6,13,0,0.883,2.064
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,17,0,1.000,2.323
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,0,0,0.884,2.543
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,11,0,0.966,2.355
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,20,0,0.667,1.385
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,12,0,0.617,1.195
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,1,1,1.183,1.922
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,13,0,0.867,2.336
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,5,1,1.316,1.378
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,21,0,0.983,3.110
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,2,0,1.317,2.677
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,4,0,1.017,3.490
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,15,1,1.949,4.214
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,18,0,0.934,1.639
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,6,0,0.883,3.379
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,16,0,1.100,3.500
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,8,0,1.084,2.890
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,7,0,0.583,1.112
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,10,0,1.233,3.560
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,3,0,0.817,1.537
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,9,0,0.900,2.276
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,19,0,0.967,2.395
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,14,0,1.000,3.024
3c267c85-ac72-44b4-9536-c2da384053e7,20,Trackpad,3,22,0,0.916,1.463
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,16,0,2.174,3.579
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,1,0,0.930,2.394
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,3,0,0.646,1.251
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,11,0,1.042,2.543
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,22,0,0.798,1.670
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,10,0,0.931,3.594
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,13,0,0.798,2.307
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,18,0,0.855,1.451
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,12,0,0.861,2.408
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,20,0,0.875,1.119
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,5,0,1.020,1.968
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,14,0,1.038,3.274
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,9,0,0.921,2.038
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,8,0,1.125,2.564
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,0,0,0.792,2.487
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,21,0,1.069,3.790
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,17,0,0.791,1.968
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,7,0,1.070,2.736
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,2,0,0.958,1.156
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,4,0,1.195,3.473
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,15,0,1.146,4.261
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,19,1,2.326,3.745
8788b73e-7e80-4869-be32-7e72d6547f59,28,Trackpad,8,6,0,1.216,3.132
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,13,0,1.007,2.599
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,7,1,0.819,1.366
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,12,0,0.667,1.593
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,14,1,1.076,2.233
6c8add89-dbdf-4592-acfe-c456edc01838,24,Mouse,10,21,0,0.688,2.557
